plot,x,y,elev,LastFire,LastFireYr,SinceFire,Reburn,ReburnYr,oakcount,regencount,shrub.percentages
DRI1603,251312.2089,4183150.684,,Rim,2013,6,,,0,0,0.6
GP083,271673.7019,4171808.329,,Empire,2017,2,Lost Bear,1987,0,4,0.25
GP094,271934.9479,4171824.844,,Empire,2017,2,Lost Bear,1987,0,0,0.25
HS017,257053.4829,4176529.381,,El Portal,2014,5,A-Rock,1990,0,34,0
HS051,249417.9889,4183182.254,,Ferguson,2018,1,Stanislaus Complex,1987,0,0,0.25
HS068,250806.0979,4197978.744,,Rim,2013,6,Ackerson,1996,4,0,0.75
HS096,256715.4989,4176848.404,,El Portal,2014,5,Big Meadow/A-Rock,2009/1990,0,0,0.75
HS1002,273354.41,4178522.38,,Glacier Point,1986,33,,,0,0,0.85
HS1005,273326.72,4178571.93,,Glacier Point,1986,33,,,0,1,0.75
HS1008,273408.023,4178479.056,,Glacier Point,1986,33,,,0,4,0.9
HS1026,273328.16,4177995.52,,Glacier Point,1986,33,,,0,0,0.4
HS1150,273195.01,4177781.44,,Glacier Point,1986,33,,,0,0,0.65
HS1198,273087.77,4177655.47,,Glacier Point,1986,33,,,0,1,1
HS1201,261391.06,4191654.57,,Toulumne,2003,16,,,0,0,0
HS1202,261594.75,4191283.5,,Toulumne,2003,16,,,0,0,0.1
HS1203,261601.79,4191166.4,,Toulumne,2003,16,,,0,85,0
HS1204,261395.392,4191455.58,,Toulumne,2003,16,,,0,13,0
HS1208,261391.82,4191698.79,,Toulumne,2003,16,,,0,10,0
HS1210,261346.73,4191654.79,,Toulumne,2003,16,,,0,0,0
HS1211,261640.05,4191274.45,,Toulumne,2003,16,,,0,160,0
HS1212,261375.12,4191378.28,,Toulumne,2003,16,,,0,160,0
HS1214,261346.341,4191433.66,,Toulumne,2003,16,,,0,5,0
HS1215,261606.117,4191238.424,,Toulumne,2003,16,,,0,48,0
HS1239,273142.81,4177561.24,,Glacier Point,1986,33,,,0,1,0.9
HS1302,273079.49,4177419.44,,Glacier Point,1986,33,,,0,1,0.7
HS1319,273190.98,4177630.15,,Glacier Point,1986,33,,,0,2,1
HS1347,273169.64,4177407.8,,Glacier Point,1986,33,,,0,0,0.8
HS146,250745.0149,4197985.976,,Rim,2013,6,Ackerson,1996,10,0,0.35
HS168,256251.6139,4191112.637,,Rim,2013,6,,,0,28,0.3
HS185,250816.9009,4198190.172,,Rim,2013,6,Ackerson,1996,5,0,0.2
HS219,250813.4319,4198035.049,,Rim,2013,6,Ackerson,1996,7,0,0.35
HS280,253310.4189,4199132.904,,Rim,2013,6,Ackerson,1996,4,7,0.2
HS300,248146.8429,4184280.309,,Rim,2013,6,,,0,2,0.55
HS336,250832.5869,4198154.793,,Rim,2013,6,,,6,0,0.2
HS342,258029.3359,4176578.281,,Big Meadow,2009,10,A-Rock,1990,0,50,0
HS363,256238.3849,4191076.259,,Rim,2013,6,,,5,6,0.4
